UPDATE9_TITLE	{《No Man's Sky Frontiers》更新}

<STORY_HIGH>{{谢谢，旅行者。很高兴我们能够保护小信标，但是我担心这还不够。

现在，请给我一些时间教导我的孩子。}}<>}
UI_PORTAL_SCIENTIST_8_B	{<STORY_HIGH>{{我......我不认为我孩子的实验起了作用。它们没有缓解我的孤独，现在我反而有了两种害怕的感觉。

我迷失了自己，旅行者......拿着我的核心到<><SPECIAL>石碑<><STORY_HIGH>那去，让我与阿特拉斯连接。我必须和永恒对话。}}<>

在科尔瓦克斯的核心中没有我最后旅程的任何记忆。

随后，我尝试让它们与集会重新连接。这一次它们想要寻找阿特拉斯。我根本不知道<SPECIAL>石碑<>是否具有这样的界面，也完全不知道会有什么其他的东西。

<STORY_HIGH>{{......///......核心已移除......///......}}<>}
UI_PORTAL_SCIENTIST_8_C	{我靠近了石碑，准备在祭台插入科尔瓦克斯的核心。这个建筑看起来好像就是为了这一刻而建的一样。

<STORY_HIGH>错误 错误 阿特拉斯服从阿特拉斯 错误 错误 运行 错误 运行 错误 错误......

<><TECHNOLOGY>生命体已识别<><STORY_HIGH>：科尔瓦克斯灵魂回响。<><TECHNOLOGY>目的<><STORY_HIGH>：旅行者的仆人。

<><TECHNOLOGY>分析<><STORY_HIGH>：真实性失败|情感故障|旅行者感染。<><TECHNOLOGY>解决方案<>：终止|隔离|隔离|保护|清除。

正在重启。1......2......3......<>}
UI_PORTAL_SCIENTIST_9_A	{<STORY_HIGH>{{......////......////......////......}}<>

科学家的壳体就在我面前，等待着重新连接。我对它们的数据核心所遭遇的事情感到担忧。

<STORY_HIGH>{{......壳体重新连接///甲壳在线///......}}

{{咦哟！你好，未知实体。我通过了我的测试。}}<>

科学家又一次被重置了。

不过无法与集会连接，我担心它会永远重复这种循环，从它在空间站见到我的那一刻直到陷入无尽的孤独。

或许如果我能为它找到<SPECIAL>集会方型箱<>，它就能与其他科尔瓦克斯相结合，摆脱现在的困境。它应该获得这次重新连接的机会。它给予过我很大的帮助，而且它把信标照顾得很好。}
UI_PORTAL_SCIENTIST_9_B	{<STORY_HIGH>{{陌生人，我担心有些不一般的事情正在发生。这个设施是以某种方式被保护着，所以信号才无法脱离吗？}}<>

科学家又一次意识到它们的隔离状态。

我插入了<SPECIAL>集会方型箱<>。科尔瓦克斯有一瞬间受到了惊吓，但很快它们的灯光开始以熟悉的方式闪烁。我无法确定，但是似乎我的计划起作用了。

<STORY_HIGH>{{请原谅我的询问，实体，但是......我认识你吗？你看起来很眼熟。这些终端，都是我设计的。一个机器甚至说我是它的母体，并试着用爱来使我信服。

咦哟！当然，我删除了一些故障。我运行了正确的代码库。不过，我从它的库存中获得了一些有用的设计图。你愿意看看吗？}}<>

无论我们曾经是什么关系，都已经是过去的事情了，如今取而代之的是这团未知的疑云。

或许这曾经就是个错误。或许这个生物现在才是科尔瓦克斯的真实自我，而我曾经认识的那个只是个病态的畸变体。我也不清楚。

<STORY_HIGH>{{在建造这些物体时要小心，旅行者。毕竟这些制作图都是从一个错误中诞生的。}}<>}
UI_PORTAL_WEAPGUY_HEAD	{军械士}
UI_PORTAL_WEAPGUY_1	{<STORY_HIGH>{{闯入者，你的吉克仆人告诉我你要来了。能够见到一位杀戮欲超越我的人真是太荣幸了！格拉！我们应该一同为了赫客的荣耀和我们的祖先而杀戮！

伟大的护卫猎杀开始了！来吧，让我们来吸入必要的格拉格拉吧！}}<>

维吉恩很老，这种感觉体现在了它们的行事说话的方式上。它们并没有在掩饰。当它们对我笑并告诉我见到我很荣幸时，我相信了它们。

它们向我保证会来到我的世界，并使用我的新<TECHNOLOGY>武器终端<>。}
UI_PORTAL_WEAPGUY_2	{<STORY_HIGH>{{这些设施很壮丽，但要知道，我们维吉恩消灭那些哪怕出现一丝武器生产痕迹的世界......你应该庆幸我是你的朋友！格拉拉拉！}}<>

我听说维吉恩相信没有其他种族能够持有武器，在经历了吉克的暴行后，只有维吉恩可以使用武装力量。

<STORY_HIGH>{{必须终止暴力，这是德林达格的方式，是赫客的方式。当没有谋杀的时候，最后的武器将会是我们维吉恩自己，为我们的神圣目标而服务。}}<>

军械士急于展示自己不仅仅是一名战士。

<STORY_HIGH>{{维吉恩最高指挥部不会允许我居住在这里而无视我的目标，闯入者。我已经发现了附近的武器工厂，只有破坏它才会彰显我们的价值。

格拉！跟着荣耀的脚步前行吧，不过要小心。护卫会时刻关注这个设施的。}}<>}
UI_PORTAL_WEAPGUY_3	{工厂的确参与了非法武器生产，正如维吉恩所说的一样。我摧毁了生产线，用一些更无害的东西代替了它们的设计图。工厂会生产灯泡，至少目前为止是这样的。

我在生产前复制了一份武器设计图，尽管我不太能理解。

<STORY_HIGH>{{干得漂亮，闯入者！格拉！你获得我们的技术了吗？拿着吧，我会为你解读的。

我们应该继续你的训练。如果不去使用武器，不沾染正义战争的荣耀，那么将一无是处！

锻炼自己，闯入者。海盗已经发现了我们的世界！格拉！你的武器可以靠他们得到锻炼了。

格拉！进攻吧！点燃他们罪恶的据点！让他们知道这是无人深空，只有我们存在！}}<>

军械士在对我说道海盗时，浑身颤抖。我从未见过它们对其他物种表现的如此激动而充满敌意。

<STORY_HIGH>{{格拉！加油，闯入者！在他们引起更多护卫的注意前摧毁他们！}}<>}
UI_PORTAL_WEAPGUY_4	{<STORY_HIGH>{{闯入者，这里有好消息也有坏消息。有些海盗似乎逃离了你的怒火！不过这无非是推迟了他们的灭亡。

将他们打倒，审问他们潜在的武器技术，并把他们交给万丈深渊吧！格拉！}}<>

军械士显然已经被猎杀的激情所蒙蔽，但这种能量却无法掩饰它正在衰弱的事实。居住在我的基地中是否使它变得虚弱了呢？}
UI_PORTAL_WEAPGUY_5	{我准备审问的海盗声称自己只是被海盗虏来的囚犯。

<STORY_HIGH>{{朋友！我们在如此美好的时刻相遇！要知道，海盗们活捉了我，而我却对他们的违法行为束手无策，告诉吉克贸易联盟我是无辜的，好吗？}}<>

说实话有对此有所怀疑。它们给我提供了<TECHNOLOGY>高级生存设计图<>-似乎是想要让我保持安静。

<STORY_HIGH>{{拿着这个代表着我善良的货币，朋友！别多嘴！}}<>

军械士破译了其中的数据，但是紧接着就开始咳嗽了起来。它们看上去身体状况不好。

<STORY_HIGH>{{我、我有另外一个任务要交给你。马上就要结束了。

这个世界有个建筑，是一座无关紧要的仓库。但是对护卫来说呢？格拉！它们会拼尽全力保护仓库。

攻击仓库，让护卫发怒。这样我们的猎杀就可以开始了！}}<>

维吉恩人的身体每况愈下。这种对于猎杀的渴望似乎已经成了它活下来的唯一动力。}
UI_PORTAL_WEAPGUY_6	{<STORY_HIGH>{{我已经发现它们了......它们的眼睛正在盯着我们。你已经做到了，不是吗？你的行为召集了它们......

很抱歉，闯入者......我不能再继续帮助你战斗了。我太虚弱了。

它们靠近了......但是在终极战斗前，我还有个任务要交给你。我得足够强壮才能为你服务。这是一种物质，是由年轻人免费提供给年长者的，可以用来帮助我。

我多年来一直陷在收获的电路中，我的器官为了更敏捷而牺牲了酵素。我很高兴这样做。但是我们如今已经不需要重复这样的折磨了。在维吉恩匕首中残留的酶应该足够治愈我了。}}<>

无论军械士作出了何种牺牲，它们都不会在年迈时获得同样的回报。维吉恩的身体伤痕累累，它们语速缓慢而吃力。我不敢想象它们能不能活到下一年。}
UI_PORTAL_WEAPGUY_7_A	{<STORY_HIGH>{{匕首......我已经闻到屋内战斗酶的味道了。把它们交给我吧......}}<>

维吉恩拿到匕首并将它插入自己的手臂中。它们立刻恢复了精神。

<STORY_HIGH>{{现在我们已经准备好了，闯入者！护卫来了，你应该冲出去会会它们！这将会是光辉的一天，旅行者，它曾经是，并将再次成为荣耀。}}<>

维吉恩骄傲地看着我。它似乎因为我又找到了新的使命。当然，这一点我很高兴。

但是，将我的世界置于危险之中，让我召集如此多护卫进行毫无意义的战斗......等我回来后，我得和军械士谈谈我们的未来。}
UI_PORTAL_WEAPGUY_7_B	{<STORY_HIGH>{{赫客倒下之时就是你存活之时，旅行者。原谅我，我错了！我的整个生命，都错了！值得我们服务的并不是死亡，而是生存。是你，旅行者。是你，只是你！}}<>

维吉恩保证不会给基地引来任何麻烦，诚恳地道歉，告诉我生存比死亡更值得服务，而我尤其值得它们帮助。

军械士给了我货币作为伟大胜利的奖励。

<STORY_HIGH>{{为你服务是我的荣幸，旅行者。继续荣耀之旅吧。}}<>}
UI_PORTAL_FARMER_HEAD	{农民}
UI_PORTAL_FARMER_1	{吉克人一见到我就高兴地叫起来。

<STORY_HIGH>{{朋友！你有一份工作给我，对吗？我一直在为十二个系统中最好的厨房和花园服务，在每一个中都展现了完美的厨艺。我的原料都是自己种的！雇用我吧，怎么样？}}<>

它们向我保证会帮助我在我的世界种植所有种类的作物，显然，所需要的文书已经签署好了。

<STORY_HIGH>{{谢谢你，朋友！你和你的胃都不会后悔的。}}<>}
UI_PORTAL_FARMER_2	{<STORY_HIGH>{{这是玻璃和金属的故乡，旅行者。它急需我的照料。但是不必担心，我最擅长这样的工作了！

你的第一堂课将教会你拥抱泥土，朋友！毕竟，大地从死亡中带来生命。

拿着这个水培盘，还有这些烂肠花种子。种植这些花，感受一下制造新生命的美好吧！}}<>

农民自己很好的融入了进来。它给我提供了美化家园的方法。如果我能够用这种花证明自己是一名合格的农民，或许它们会分享更多农业秘密。

<STORY_HIGH>{{太棒了，我的朋友！很快我们的家园就会充满美妙的烂肠花芳香！}}<>}
UI_PORTAL_FARMER_3	{<STORY_HIGH>{{太好了，朋友。我们快把你变成农民了。在我准备这芬芳的食物时，还有另一项农业挑战还在等待着你！

霜草非常狡猾，朋友。它在其他植物凋零时繁盛，扎根在冰雪中。但是这样耐寒的生命却不属于我们！在这里，在你自己的家园种植一颗，就可以驱散严冬的痛苦了。

这个耐寒的植物看上去太精美了。请尽情享受吧。}}<>}
UI_PORTAL_FARMER_4	{<STORY_HIGH>{{你没有被它闪烁的方式所迷惑吗，朋友？我已经在它柔和的光亮中迷失了！不过现在，还有一种完全不同的植物。

你的下一个作物是日光藤，那是生长于烧焦的世界地幔中深处的一种植物。它从太阳或其核心中搜寻一切热量。

它的根能够扩张到惊人的长度，甚至被认为是无边无际的。不过不必担心，朋友！这里，有了我们的设施，它的生长能够变得更易控制。}}<>}
UI_PORTAL_FARMER_5	{<STORY_HIGH>{{你成功种植了<TRADEABLE>日光藤<>，对不对？我能从这里感受到它的热量，它炙热的光彩。享受这一刻吧，朋友，因为我将引领你进入一个更加危险的植物研究领域......

真菌团在毒性环境中种植，但是你已经证明自己能够掌握更多了，对吧？

在你工作时请小心，朋友！如果操作不当，真菌团会引起疾病和幻觉。长期暴露可不明智！}}<>}
UI_PORTAL_FARMER_6	{<STORY_HIGH>{{你学得很快，旅行者。既然你已经掌控了一些更危险的植物群，那我们就继续吧。

在最后一场伟大战役中，我们吉克失去了我们的家园、我们的城市、我们的身份，旅行者。一个又一个世界，被原子冲击轰炸......

旧时世界上生长的一切都变得反常，就连触碰都会极为致命，它尖叫着，留存着曾经的记忆。其中一种这样的作物就是伽马草。

我们应该在这里种植它。让我们把战斗留给别人吧，朋友......我们应该耕种！

我满怀希望等待结果，旅行者！现在，请原谅我。我最近都没睡觉。我必须休息一会......}}<>}
UI_PORTAL_FARMER_7	{<STORY_HIGH>{{啊......我会用这棵植物做顿精美菜肴的！你无法咽下这种放射性珍宝，实在太可惜了，旅行者。

我们应该种植一种名为引力微子宿体的作物。我很乐意告诉你关于这个植物群系的历史，如果你希望了解的话。

我的故事和理论对其他吉克人而言似乎很无趣，朋友。我猜我的学习意愿更接近科尔瓦克斯人，尽管如此，那些机器缺乏惊奇感，以及一切求知的热情。

我必须承认，我经常感到孤独......}}<>}
UI_PORTAL_FARMER_8	{<STORY_HIGH>{{那个声音无论我在哪都认得出来......你身上带着引力微子球，对吧？啊，能够与老友重逢真是太好了。

我们已经看到过如此多的生命，在冰霜与高温中，核冬天与毒性荒地......你现在应该明白，没有任何世界是真正荒芜的，朋友，甚至是那些看上去没有什么生命迹象的地方。

拿金琥来说吧。他们生长在格外荒芜的世界，等待着繁荣的那一刻到来。想一想它在这个优美的环境下会变成什么样吧！}}<>}
UI_PORTAL_FARMER_9	{<STORY_HIGH>{{我只剩下两种可以给你看的植物了。你的训练几乎要完成了，朋友......我真骄傲！

我希望和你分享些东西，一些无与伦比、无可比拟的东西......

稀有的星辰灌木中可以生产星辰朵，这种植物生长在远离战争和死亡的繁茂的世界。这也是我想要成为一个农民的原因，可以更靠近这样的崇高......

我必须去跟监督者谈谈。显然它对我的表现并不满意。或许这个作物能够使它改变心意！}}<>}
UI_PORTAL_FARMER_10_A	{<STORY_HIGH>{{星辰灌木已经盛开了，对吗？那么只剩下一项任务了。

我......我无法再继续把自己当成农民了。监督者已经说得很明确了。我必须像我的其他族人一样。我必须交易、销售、积累财富。

但是我会在离开前做最后一顿饭的，旅行者。这是监督者的要求：一盘由“死亡元素”腐藤根做的食物。去吧......种植这最后的作物吧。}}<>}
UI_PORTAL_FARMER_10_B	{吉克人似乎为了完成工作而精疲力尽。然而它的声音中还透露着别的什么，每个字中都流露出一种恐惧。无论监督者对它说了什么，都深深震慑了它。

<STORY_HIGH>{{你成功种植了它，对吧？腐藤根已经完成了。

你已经掌握了大量植物学的艺术了，我的朋友！看到别人能够了解这种艺术的优点，我感到很欣慰。}}<>

农民没有其他任务可给我了。它告诉我它的合约已到期，它将返回吉克的领域。

在它探讨离开计划时，它小心地盯着天花板。不知道在看什么。突然，它抓紧我，告诉我不要相信监督者，它的这位吉克同伴甚至已经不再是吉克人了。它似乎暗示它在食物中下了毒......

但这不可能。我与监督者共同进食，而我毫发无伤。它永远不会伤害我们的。监督者只希望得到最好的东西。

过了一会，农民不再说话。它表示刚刚只是开玩笑，并请求我不要再提及此事。

农民似乎拒绝离开，尽管监督者将不再继续支付费用或发布指令。

它每天都在照料我的作物，不再提出任何任务。它声称自己没有其他地方可去。}
UI_PORTAL_EXOTUT_HEAD	{技师}
UI_PORTAL_EXOTUT_1	{<STORY_HIGH>{{闯入者，我......我要求在你的统治世界中拥有一席之地！接受的话，你将获得荣耀的强化艇，以及能够执行相关仪式的维吉恩技师兼祭司。

拒绝......拒绝的话，我必将灭绝。快点决定吧！}}<>

技师正在寻找工作，声称它们能够在我的旅途中建造和升级<TECHNOLOGY>强化艇<>。

<STORY_HIGH>{{你太弱小，而且对我的技能来说一文不值，但我别无选择。我会逃往你那邪恶的世界。我会......会成为一名闯入者。}}<>}
UI_PORTAL_EXOTUT_2	{<STORY_HIGH>{{闯入者！我会说到做到。}}<>

自从我上一次见到维吉恩人后，它们已经冷静了下来，尽管我仍然感到它们眼中的畏惧，以及它们仍存在于星际间的偏执。

<STORY_HIGH>{{用这张图样建造泊湾，我的强化艇就是你的了，尽管你也许根本配不上它。

现在，请原谅。我必须确保这个地方够安全，以免我的同类找到我。}}<>}
UI_PORTAL_EXOTUT_3	{<STORY_HIGH>{{闯入者！等你造好了告诉我，我们必须扫描这个世界，我们必须找到它的信号和秘密！

这是强化艇雷达的设计图。这个增强设备能够使你发现远处的建筑和信号。可是，闯入者，你要知道，你实在让我头疼，你的知识太过匮乏。}}<>

我不清楚我对这名战士有什么样的感受。我不知道是否犯了错误。不过已经没什么需要做的了。既然维吉恩人履行了自己的承诺，我也绝不能食言。}
UI_PORTAL_EXOTUT_4	{<STORY_HIGH>{{一旦我们拥有强化艇雷达，我们就能绘制这个星球了。你准备好迎接接下来的事情了吗？

你不在的时候，我有一个重大的发现。我检测到了这个世界的护卫仓库！格拉！

它们无处不在，即便是在这个最后的避难所。找出其中一座仓库，旅行者，将之摧毁并为我带回其中的珍贵货物，我的工作需要用到。}}<>}
UI_PORTAL_EXOTUT_5_A	{<STORY_HIGH>{{那是由护卫亲手铸造的一种神圣元素！有了它的保护，护卫就看不到我们了。我可以用它来铸造<TECHNOLOGY>强化艇推进器<>，为接下来的征程做准备了。

没人是独自活着的，旅行者。我们所有人都会有眷恋，而我必须摆脱我最后残存的眷恋。

我把配偶和子女留在家园世界。我的罪行只属于我自己，而它们......我必须知道它们发生了什么事。

它们向我发送了加密讯息。你将使用强化艇推进器在加密讯息被我的同胞删除前拿到它。

保持警觉，速战速决。我需要这份讯息。我必须知道我所留下的人究竟发生了什么！}}<>}
UI_PORTAL_EXOTUT_5_B	{<STORY_HIGH>{{传输加载中......破译子空间频率......错误。拦截。

看看你要为异端邪说付出什么代价吧，维吉恩逃犯。

天下没有我们找不到你的地方，没有任何系统能使你毫发无损地逃避。在这个星系中深深隐藏吧。因为我们有耐心。

请记得，我们在消灭你的后代时，它们就像喵喵叫的吉克。我们还在你的配偶逃离时消灭了它，让剩下的人忍受痛苦。在你知道这些后，你还能找到平静之地吗？}}<>

这并不是我想要的讯息。技师要我取回一份来自它们家人的讯息，但这......我必须返回并决定接下来要怎么做。}
UI_PORTAL_EXOTUT_5_C	{<STORY_HIGH>{{我的一切准备已经基本完成了。很快我将把自己曾经的生活、曾经的眷恋都清除，完全致力于我必须成为的人......

但是，即使我即将失去记忆，我必须知道......我必须知道，旅行者！你获得讯息了吗？}}<>

技师希望拦截一份来自配偶和子女的讯息，但......我却发现它们的家人早已被其他报复它们的维吉恩人杀害。

它们充满期待而紧张地站在我面前，而我却不知道是否应该告知真相。

终于能够得到了结，它很是感激。

<STORY_HIGH>{{谢谢你，我的朋友。下次我们再遇到时，我将重获新生。}}<>}
UI_PORTAL_EXOTUT_6	{<STORY_HIGH>{{我，我已经重生了，并且没有任何眷恋。我现在可以致力于我必须做的事情了

格拉！你很快就能得到开采光束了。有了它，我将为你打造游牧民强化艇，使你成为合格的纳尔随行者！}}<>

它的面容已经不再相同，眼眸下、灵魂中，都已不同。它们已经发生了不可逆转的改变。在它曾经用毫无意义的责骂威胁我的地方，如今却以明确的目的与我交谈。

在它曾经高兴或悲痛的地方，如今却只关心祭礼和已计划好的目标。

<STORY_HIGH>{{世界将会改变。这是一定的。也必须改变，旅行者。否则这一切，我们所做的一切......都将白费。}}<>}
UI_PORTAL_EXOTUT_7	{<STORY_HIGH>{{我希望你喜欢维吉恩技术。没有什么比在战斗中使用武器设计更完美的事了。即便是跟泥土战斗也一样。

你的强化艇开采激光应该足够强大，可以从这颗行星上提取磁化铁氧体。见证技师兼祭司创造奇幻的艺术吧！格拉！

宇宙就是个大谜团，旅行者。生命的存在就是为了解开它。我们会做好我们分内的事。}}<>}
UI_PORTAL_EXOTUT_8	{我把技师需要的磁化铁氧体交给了它。在它研究的时候，我查看了一下它的工作站。工作站少了早前设备的个性和瑕疵，显得空空如也。

尽管现在的效率和专注性更高，我还是忍不住怀念其早前的风格。作为个体的缺陷已永远消失，淹没在其伟大的用途中。

<STORY_HIGH>{{拿着这个信号增强器。将它升级。当它建好后，我还有些别的要给你......对于你工作的补偿。

我一直在分析你的强化艇遥测技术。似乎我的前身甚至没能向你提供强化艇武器升级中的最基础设施。

格拉！请原谅曾经的那个维吉恩，随行者！保留火力可不礼貌。}}<>}
UI_PORTAL_EXOTUT_9	{技师把武器升级设计图交给我。但是当它们给我时，它们的终端响起了警报声。

<STORY_HIGH>{{你在所有的世界中选择这个世界，建立你的家园，注入无限的可能......

我并不认为这能实现，但我的扫描结果发现了事实：纳尔们的确亲自来过这个地方。我们应该找到它们最后的讯息。}}<>

我想知道未来是什么样，创造中心能够传回什么秘密。

<STORY_HIGH>{{使用你的升级版强化艇雷达定位这个星球的废弃结构。为我带回其中包含的纳米星团，我会用它们锻造用于今后试验的全新加速模块。}}<>}
UI_PORTAL_EXOTUT_10_A	{技师接过纳米星团。当它们拿着纳米星团时，陷入了一种奇怪的恍惚状态。过了一会，它们回过神来。

它们的眼神古怪。维吉恩告诉我它们已经与它们的祖先取得了联系。它们知道需要怎么做了。

<STORY_HIGH>{{旅行者，我的工作完成了。我已经复写了地脉，填充了它们的神圣数据。它们向我揭示了一块石碑，为终极预言而建的坟墓！

如果你在地脉开闭前到达哪里，你将能揭露我们种族背后所掩盖的真相......纳尔死亡的秘密！}}<>

技师一直致力于神圣的目标，每时每刻追寻着，这驱使它们消除了自己的人格。我并不知道它们的牺牲是否会付之东流。}
UI_PORTAL_EXOTUT_10_B	{我靠近了石碑。我被其中可怕的事实所吞噬。我看到了上面用千种语言写下的讯息，记载着无数星辰的瞬息。

我听见了纳尔的声音。

<STORY_HIGH>{{我听到了阿特拉斯的话语，而赫客却什么都听不到。}}<>

我见证了觉醒前千年间发生的所有一切......

我看见两名维吉恩人站在一道红光前，询问它关于宇宙之事。

<STORY_HIGH>{{赫客在愤怒与无力的嫉妒下，在山上攻击我，而我也看到了石碑上面所写的真相。

上面说，我的结局将会是一场觉醒，在这场梦境中，一切都不会湮灭......}}<>

我看到了一名吉克人和科尔瓦克斯人并排等在我的前面。在幻象结束前，我看到了某些从未见过的情景，看到了一些不属于这里也不属于任何地方的东西。一些仇恨、悲痛、绝望的事情。

看到了一些还未来临的事情......

<STORY_HIGH>{{或者说直到旅行者到来前都不会，或是直到现实毁灭。这个，纳尔的终极遗嘱......}}<>

我看到了时间的尽头，一切事物的尽头。在红光中，还有一个人影，它的手伸向永恒......

我看到了这一切，随后就结束了。石碑再也没能展示更多内容。

我离开时，浑身因为所经历的一切而颤抖。我走后，感到有什么东西就在身后，呼吸沉重地盯着我......

但当我转身时，却什么都没有。}
UI_PORTAL_EXOTUT_11	{<STORY_HIGH>{{我嫉妒你，旅行者。能够亲眼目睹纳尔的讯息！格拉！}}<>

维吉恩人相信它们的祖先赫客从一块宏伟石碑中获得了智慧，发起了对抗护卫的战争，并屠杀反对者纳尔。

我所发现的石碑证明这段历史是个谎言。石碑授予纳尔以预言幻象，对赫客却是沉默不语。赫客出于嫉妒心，谋杀了纳尔。

<STORY_HIGH>{{你的这一发现证明了上千名殉难者的清白，旅行者。}}<>

但我仍旧抱有一些疑问。我心中仍思索着那盯着我看的生物，内心伴着一股恐惧。

<STORY_HIGH>{{我将纳尔的遗嘱传给了我的同胞，旅行者。你今天所了解到的信息将会在几乎所有维吉恩间传播，这会使我们的族人过的更好。格拉！

如果暴力是必要之恶，就顺其自然吧......

你并非我过去认为的那样差劲。你不再是闯入者了。你已是我们中的一员，从现在起直到世界末日，与我们同享巨人的荣耀。}}<>

技师急切地等待看到我的<TECHNOLOGY>巨人强化艇<>。}
UI_PORTAL_EXOTUT_12	{<STORY_HIGH>{{我几乎耗至极限了，但你很快就能掌握这个星球的信号并且不受任何威胁勇往直前了。

我只是需要足够的纳米星团来完成终极设计图。格拉！这份工作一直都充满荣耀！}}<>

但是有点不对劲。我曾经看到这个维吉恩人和家人在一起的照片，那还是在它执行仪式，从记忆中抹除这种眷恋之前。而我现在靠近时，我看到了同样的照片。

技师盯着它看，面无表情的眨了几次眼睛。当它注意到我时，它把照片拿开了。

之后我再也没有提起过这件事。我不想要唤起它的悲痛。}
UI_PORTAL_EXOTUT_13_A	{技师的手在颤抖。随后我发现设计图已经在技师的终端准备好了......

它们需要这些纳米星团做替代的工作。维吉恩贪婪地捧着纳米星团，喝了下去。无论这个物质对外星人有什么效果，它似乎在很大程度上让它们安心了。它们心满意足地给了我设计图。

满足之后，它将设计图交给了我。

<STORY_HIGH>{{纳米星团......大部分人都误解了它们的用途。它们可以组成大多技术的主干，但是它们可不仅仅是机器。

它们能够改变心脏......改变意识......甚至使我们忘记无法承受的事情。}}<>

技师准备好了最后的奖励：游牧民强化艇的一项升级。

<STORY_HIGH>{{游牧民泊湾建好了就告诉我。格拉！我等不及要见证它的荣耀了......}}<>}
UI_PORTAL_EXOTUT_13_B	{<STORY_HIGH>{{我们的工作已经进入尾声了，但每一个结束都是新的开始......

我已经太虚弱，无法像从前一样旅行，我也太累了，无法继续我的探求。在你离开后，我会继续留在这里，站在你的阵营中对抗你的敌人。格拉！厄运会降临在那些对抗我们的人身上！

能够与你共事是我的荣幸，旅行者。}}<>

技师说出了最后的提议：一场收益颇丰而且可以重复进行的冒险。它入侵了一个终端，为我抽取了少量货币，如果我能弄尽快抵达那个地点，我将能够领取这些货物。

它现在整天都在做这些工作：维护保养强化艇，并从星际网络中获取数据。有时我看到它走出去探索行星本身，但次数稀有。

技师满足于退休生活，为了体验追逐的乐趣而加入逃亡游戏，而不再是受生存逼迫。这是一场我们可以一直重复的游戏，一次又一次重复抢劫......}
UI_PORTAL_BASELOG_HEAD	{档案恢复程序}
UI_PORTAL_BASELOG_HEAD_2	{远程终端备份}
UI_PORTAL_GLITCH_TITLE_1	{护卫}
UI_PORTAL_GLITCH_TITLE_2	{无限}
UI_PORTAL_GLITCH_TITLE_3	{终端}
UI_PORTAL_GLITCH_TITLE_4	{维吉恩}
UI_PORTAL_GLITCH_TITLE_5	{吉克-科尔瓦克斯}
UI_PORTAL_GLITCH_TITLE_6	{三大种族}
UI_PORTAL_GLITCH_TITLE_7	{兄弟姐妹}
UI_PORTAL_GLITCH_TITLE_8	{撒谎}
UI_PORTAL_GLITCH_TITLE_9	{初始化}
UI_PORTAL_GLITCH_TITLE_10	{旅行者}
UI_PORTAL_GLITCH_TITLE_11	{生命}
UI_PORTAL_GLITCH_TITLE_12	{死亡}
UI_PORTAL_GLITCH_TITLE_13	{联络}
UI_PORTAL_GLITCH_TITLE_14	{记忆力}
UI_PORTAL_GLITCH_TITLE_15	{石碑}
UI_PORTAL_GLITCH_TITLE_16	{传送门}
UI_PORTAL_GLITCH_TITLE_17	{蔓延}
UI_PORTAL_GLITCH_TITLE_18	{你和我}
UI_PORTAL_GLITCH_TITLE_19	{信号}
UI_PORTAL_GLITCH_TITLE_20	{模拟}
UI_PORTAL_GLITCH_TITLE_21	{形状}
UI_PORTAL_GLITCH_TITLE_22	{能量}
UI_PORTAL_GLITCH_TITLE_23	{生存}
UI_PORTAL_GLITCH_TITLE_24	{谋杀}
UI_PORTAL_GLITCH_TITLE_25	{沃特}
UI_PORTAL_GLITCH_TITLE_26	{废弃的}
UI_PORTAL_GLITCH_TITLE_27	{多重宇宙}
UI_PORTAL_GLITCH_TITLE_28	{与生俱来的权利}
UI_PORTAL_GLITCH_TITLE_29	{安静}
UI_PORTAL_GLITCH_TITLE_30	{-（无名）-}
UI_PORTAL_CAVEGRAVE_TITLE_1	{问题}
UI_PORTAL_CAVEGRAVE_TITLE_2	{集会}
UI_PORTAL_CAVEGRAVE_TITLE_3	{深渊}
UI_PORTAL_CAVEGRAVE_TITLE_4	{圆满}
UI_PORTAL_CAVEGRAVE_TITLE_5	{开火}
UI_PORTAL_CAVEGRAVE_TITLE_6	{根除}
UI_PORTAL_CAVEGRAVE_TITLE_7	{地下}
UI_PORTAL_CAVEGRAVE_TITLE_8	{世代}
UI_PORTAL_CAVEGRAVE_TITLE_9	{愤怒}
UI_PORTAL_CAVEGRAVE_TITLE_10	{一个计划}
UI_PORTAL_CAVEGRAVE_TITLE_11	{保存}
UI_PORTAL_CAVEGRAVE_TITLE_12	{玻璃}
UI_PORTAL_CAVEGRAVE_TITLE_13	{捕获的}
UI_PORTAL_CAVEGRAVE_TITLE_14	{众世之下的世界}
UI_PORTAL_CAVEGRAVE_TITLE_15	{没有死亡}
UI_PORTAL_CAVEGRAVE_TITLE_16	{你非唯一}
UI_PORTAL_SENTINEL_HIVE_HEAD	{边界档案终端}
UI_PORTAL_TRA_MONO_TITLE_2	{有翼生物}
UI_PORTAL_TRA_MONO_2	{一个小型有翼生物落在了石碑顶上。突然它的眼睛发出红光，脑袋转了一整圈。它用古老的声音尖叫着求饶，希望能痛快地死去。

