SCAN_NO_TECH	{未安装扫描技术<IMG>SLASH<>}
EXP_NPC_RES_C_21	{我谨慎地远离了生命体和它危险的装置。}
EXP_NPC_DESC_22	{电子生命体表示屏幕上有个东西要我帮忙。它紧张地把我的手指拉向它资料板的屏幕。}
DNT_EXP_NPC_LANG_22	{Eheu! Clarify next entity research topic! Entity cannot choose! Excitement high! Share research tools!}
EXP_NPC_DESC_22A	{我看到屏幕上有三幅清晰图像：看似很可怕的猎食者、地质开采勘测现场和绕轨而行的小行星团。%NAME%突然关闭了面罩上的灯光，不愿目睹我的决定。}
EXP_NPC_OPT_A_22	{猎食者}
EXP_NPC_OPT_B_22	{地质测量}
EXP_NPC_OPT_C_22	{小行星团}
EXP_NPC_RES_A_22	{这个生命体点了点头。它开始制作一种新的多用途工具升级品，估计是为了用来抵挡那些野兽。当制作完成以后，它也给了我一份副本。}
EXP_NPC_RES_B_22	{这个生命体点了点头。它开始制作一种新的多用途工具升级品，估计是为了用来进行地质研究。当制作完成以后，它也给了我一份副本。}
EXP_NPC_RES_C_22	{这个生命体点了点头。它开始制作一种新的飞船升级品，估计是为了用来协助它们的小行星搜索工作。当制作完成以后，它也给了我一份副本。}
EXP_NPC_DESC_23	{当我靠近的时候，%NAME%面罩上的灯光兴奋地闪动了起来。它向我表示了友好的问候，然后提出了一个问题。}
DNT_EXP_NPC_LANG_23	{Traveller! The Korvax Convergence wants brain tissue for experiment! The Convergence reward help!}
EXP_NPC_DESC_23A	{这个生命体对我的头部进行了扫描，并将结果显示在它的资料板上。它兴奋地指向我的大脑，然后充满期待地看着我。}
EXP_NPC_OPT_A_23	{同意手术}
EXP_NPC_OPT_B_23	{拒绝手术}
EXP_NPC_RES_A_23	{我取下了面甲。这个生命体的手掌中出现了一根尖锐的金属针。它移动的速度非常快，一眨眼间就已经插入又抽出了我的前额。
吃惊的是，这个手术的过程完全无痛。%NAME%向我的捐献表示感谢，并送给我一个升级模块，以补偿我损失的脑组织。}
EXP_NPC_RES_B_23	{%NAME%被我拒绝，感到非常震惊。它转身离开，发出一阵微弱而沮丧的嘘哨声。}
EXP_NPC_DESC_24	{我靠近时，这个实体的灯光猛然集中在我身上。它伸出一只硅制的手，用冷静而略带威胁的声音开口说话。}
DNT_EXP_NPC_LANG_24	{Good morning unknown lifeform. Please assist neural escape. The Korvax Convergence think me dangerous. I face permanent disconnection.}
EXP_NPC_DESC_24A	{这个生命体和我遇到过的其他科尔瓦克斯不一样，让人有些担忧，带着一股不自然的热情发出嗡嗡声。它似乎想要请求我的帮助。}
EXP_NPC_OPT_A_24	{提供帮助}
EXP_NPC_OPT_B_24	{拒绝帮助}
EXP_NPC_RES_A_24	{这个生命体开始吟唱一首奇异而又庄严的歌曲。当它唱完以后，它抓住了我的手。<MOOD>Dead<>突然闪过一阵明亮的光芒，然后它就不见了，从它的外壳里完全消失。
这就是这种电子生命体的生存方式，很快这具空壳中就注入了一个<MOOD>Neutral<>从其集会中下载的全新生命体。
一时之间，我似乎听到我的套装中发出了一阵微弱的低鸣声。可等我集中注意力时，这个声音却消失了。也许只是我的幻觉吧。}
EXP_NPC_RES_B_24	{这名异常科尔瓦克斯尖叫起来，然后将自己上传到其他地方去了。
这就是这种电子生命体的生存方式，很快这具空壳中就注入了一个从其集会中下载的全新生命体。<MOOD>Positive<>它感谢我没有向这名异常的实体提供协助。}
EXP_NPC_DESC_25	{这名电子生命体正忙着在它的资料板上输入一个非常复杂的方程式，一脸垂头丧气的样子。它转向我，展示它的屏幕。}
DNT_EXP_NPC_LANG_25	{Endless numbers... 16... endless trouble... Traveller, offer assistance?}
EXP_NPC_DESC_25A	{它似乎正在处理一个从遥远的太空深处传来的信号，希望能够破译这种陌生的数学语言编写成的代码。 }
EXP_NPC_OPT_A_25	{触摸资料板}
EXP_NPC_OPT_B_25	{提供更多的微型芯片}
EXP_NPC_OPT_C_25	{说“16”}
EXP_NPC_RES_A_25	{我从这个实体手中接过资料板，尝试破解代码。我笨拙的操作并没能帮上任何忙，反而是清空了屏幕上一大堆已经运算出的信息。
%NAME%猛地将平板抢了回去，感到非常懊恼。}
EXP_NPC_RES_B_25	{我递给这个实体一小把微处理器，希望可以帮上它的忙。它用这些新的硬件增强了它的运算力。
这样做似乎确实收到了效果，虽然作用有效。它成功地从这个信号里破译出一些导航数据。它将得到的坐标分享给我。}
EXP_NPC_RES_C_25	{%NAME%停了一下，表现出警惕。它盯着我看了一会儿，然后挥手让我离开。它将一把纳米塞给了我，就像是在打发我。}
WAR_NPC_DESC_1	{战士看着我，眼中充满怒火。这个物种很明显具有攻击性，我很怀疑自己是否受欢迎。
虽然这个生命体恭敬地迎接了我。因为可能是传统和荣誉指引它这样做。

我并未感觉危险会立刻降临，正打算离开，这个生物突然指向我的多用途工具，并担忧地叫喊着，还比划着要我把工具交出来。}
WAR_NPC_DESC_1_DUST	{战士看着我，眼中充满敌意和怒火。它看着我覆满灰尘的破旧套装，表情充满蔑视。尽管如此，这个生命体依然向我鞠躬致意。也许是传统和荣誉使然。}
WAR_NPC_DESC_1_LUSH	{战士看着我，眼中充满敌意和怒火。它带着蔑视的表情看着我的套装，上面还覆满了我在这颗星球上冒险时沾上的泥土和青草。尽管如此，这个生命体依然向我鞠躬致意。也许是传统和荣誉使然。}
WAR_NPC_DESC_1_TOX	{战士看着我，眼中充满敌意和怒火。它带着蔑视的表情看着我的套装，由于被外面的有毒空气严重腐蚀，套装表面变得粘稠、坑坑洼洼。尽管如此，这个生命体依然向我鞠躬致意。也许是传统和荣誉使然。}
WAR_NPC_DESC_1_RAD	{战士看着我，眼中充满敌意和怒火。我在这颗星球的高辐射环境下暴露了太长时间，现在看上去一定是非常的可怜、有气无力。尽管如此，这个生命体依然向我鞠躬致意。也许是传统和荣誉使然。}
WAR_NPC_DESC_1_COLD	{战士看着我，眼中充满敌意和怒火。我暴露在室外的时间太长了，看上去浑身冰冷、筋疲力尽、又湿又脏，在它看来想必是非常可怜。尽管如此，这个生命体依然向我鞠躬致意。也许是传统和荣誉使然。}
WAR_NPC_DESC_1_HOT	{战士看着我，眼中充满敌意和怒火。我被猛烈的阳光炙烤了太长的时间，筋疲力尽，在它看来想必是非常可怜。尽管如此，这个生命体依然向我鞠躬致意。也许是传统和荣誉使然。}
DNT_WAR_NPC_LANG_1	{Grah! The interloper weapon is pathetic! The honourable Vy'keen pity you! I will replace it!}
WAR_NPC_DESC_1A	{我并没有感觉到危险，正要转身离开，这名生物突然指向我的多用途工具。它发出担忧的吼叫声，并示意我将其交出来。}
WAR_NPC_OPT_A_1	{交出多用途工具}
WAR_NPC_OPT_B_1	{拒绝交出多用途工具}
WAR_NPC_RES_A_1	{战士满意地点点头。它拿过我的多用途工具，仔细检查了一下，然后发出“哼”的一声嘲笑，将其扔到一旁。
然后它给了我一把改良过的多用途工具作为替代。}
WAR_NPC_RES_B_1	{这名战士对于我表示拒绝感到钦佩。它尊重我的决定，并送了我一件可以用来改良多用途工具的升级模块。}
WAR_NPC_DESC_2	{这名战士张大了鼻孔，露出充满希望和期待的表情。它向我展示了它的个人资料板，上面显示着一系列非常详实的军事计划。}
DNT_WAR_NPC_LANG_2	{Interloper! Vy'keen allegiance? Or vile, pathetic, weak-minded Sentinel allegiance?}
WAR_NPC_DESC_2A	{战场的一边站着该生物自己的战士种族，另一边是机器人护卫。该战士要求我选择一边。}
WAR_NPC_OPT_A_2	{指向战士}
WAR_NPC_OPT_B_2	{指向护卫}
WAR_NPC_RES_A_2	{战士嘟哝着、充满热情地点点头。它给了我一些礼物以示对新朋友的热情。}
WAR_NPC_RES_B_2	{这名战士很愤怒。它疯狂地手舞足蹈，情绪几近失控，非常愤怒。我的选择极大地冒犯了它。}
WAR_NPC_DESC_3	{这个战士似乎在生自己的气。它狠狠地将自己的多用途工具往下砸，并不断地扣动扳机，但是什么都没发生。}
DNT_WAR_NPC_LANG_3	{Grah! Pathetic warrior! Weak-minded warrior! Weapon ammunition depleted!}
WAR_NPC_DESC_3A	{所有的武器系统看起来都能正常运转，但最终只是“咔哒”空响。生命体嚎叫着表达对自己的厌恶。}
WAR_NPC_OPT_A_3	{提供弹药}
WAR_NPC_OPT_B_3	{提供碳}
WAR_NPC_OPT_C_3	{安慰战士}
WAR_NPC_RES_A_3	{我给%NAME%递上了一把子弹。它的眼中重新燃起了光芒，然后它深深地鞠了一躬，开心地大喊大叫，并给了我一份礼物作为报答。}
WAR_NPC_RES_B_3	{我提供给%NAME%的碳应该足够为它的开采光束充满能量。它的脸上闪过了一丝失望的神情。我猜它一定是希望能够得到一些火力更强的东西。
<MOOD>Positive<>不过这种失望很快就消失了。即便装备有些不足，它也已为战斗做好准备。它大声叫喊着表达感谢，并送给了我一份礼物作为报答。}
WAR_NPC_RES_C_3	{我将手放在了%NAME%的肩头，想要表达我的同情。<MOOD>Negative<>愤怒之下，它给我来了一记头槌。}
WAR_NPC_DESC_4	{该战士将眼神从充斥着闪烁警报的屏幕上移开，向上抬头，冲着我呲牙，它的身体因努力抑制着愤怒而止不住地颤抖。}
DNT_WAR_NPC_LANG_4	{Pathetic interloper! Leave! Warrior busy with facility security breach reports! Death! Death!}
WAR_NPC_DESC_4A	{很明显，它无法容忍我出现在这里。它的手向武器伸去。}
WAR_NPC_OPT_A_4	{不打扰该战士}
WAR_NPC_OPT_B_4	{提供帮助}
WAR_NPC_OPT_C_4	{瞪它}
WAR_NPC_RES_A_4	{%NAME%嘟囔着，很庆幸我不再打扰它。}
WAR_NPC_RES_B_4	{我走向前，准备好提供帮助。%NAME%却将我的行为当作是一种挑战，是在质疑它的能力。它感到非常愤怒，并<AUDIO>WPN_PL_MELEE<>朝我脸上狠狠地扇了一巴掌。}
WAR_NPC_RES_C_4	{我停在原地，盯着这名战士。见我没有离开，它感到非常不安。最终，它表示如果我愿意离开，它就会给我一些纳米星团。}
WAR_NPC_OPT_POST_A	{接受}
WAR_NPC_OPT_POST_B	{拒绝}
WAR_NPC_RES_POST_B	{%NAME%耗尽了耐心。开始大吼大叫，并用<AUDIO>WPN_PL_MELEE<>武器重重地打了我。}
WAR_NPC_DESC_5	{战士在打量我时，脸上的纹路挤出了诡异的笑容。我感觉它把我当成了潜在的战斗人员。}
DNT_WAR_NPC_LANG_5	{Pathetic interloper! Show strength and attack the noble Vy'keen warrior!}
WAR_NPC_DESC_5A	{该生物指着资料板上一张奇妙的科技设计图，随后指了指它的脸。它怂恿我揍它一拳。 }
WAR_NPC_OPT_A_5	{击打战士}
WAR_NPC_OPT_B_5	{拒绝攻击}
WAR_NPC_RES_A_5	{<AUDIO>WPN_PL_MELEE<>战士以惊人的力量发起反击。它放声<MOOD>Positive<>大笑，然后给了我一件升级模块。}
WAR_NPC_RES_B_5	{战士做了个不友好的手势，它好像想表达我是胆小鬼。}
WAR_NPC_DESC_6	{这名战士似乎很高兴看到我。它叫了两声，接着拿着资料板向我展示两件精心雕琢的物品。这两件物品很老旧，以这样的方式看到如此古老的物品，真是有些奇怪。}
DNT_WAR_NPC_LANG_6	{Interloper! Vy'keen High Command demands answers. The aggression interloper, or the defence interloper?}
WAR_NPC_DESC_6A	{第一件是一把破损的带血刀刃。第二件是一件破旧的护盾。%NAME%叫喊着，用渴求的眼神示意让我做出选择。}
WAR_NPC_OPT_A_6	{选择该刀刃}
WAR_NPC_OPT_B_6	{选择该护盾}
WAR_NPC_RES_A_6	{这名战士发出了一小段仿佛带着旋律的叫喊声。它似乎对我的选择感到非常开心。它向我鞠了一躬，然后递给我一件多用途工具的升级品。}
WAR_NPC_RES_B_6	{%NAME%眯起了双眼，狐疑地盯着我。不过它还是接受了我的选择。它不情愿地向我鞠了一躬，幅度更像是轻轻点头，然后递给我一件用于套装的升级品。}
WAR_NPC_DESC_7	{战士抓着我的多用途工具，轻蔑地盯着看了看，随后开始当着我的面狂吼。狂吼声随后变成了缓慢而沉闷的叫声。它以非常戏剧化的方式表达着自己的轻蔑。}
DNT_WAR_NPC_LANG_7	{Interloper! Your pathetic Multi-Tool insults my ancestors! My wares create friendship, and blood! Death! Death!}
WAR_NPC_DESC_7A	{突然，一份武器和配件全息目录跳了出来。该战士张开双臂拥抱了我。<MOOD>Positive<>外星人销售的套路真是奇怪......}
WAR_NPC_OPT_A_7	{购买套装升级品}
WAR_NPC_OPT_B_7	{购买多用途工具升级品}
WAR_NPC_RES_A_7	{这名战士笑了起来，并用力敲了敲我的套装，导致套装内置陀螺仪的警报被触发。我猜它只是想要表达它对于我的选择感到非常高兴。它接过了我的货币，并递给我一件用于套装的升级品。}
WAR_NPC_RES_B_7	{这名战士欢呼了起来，然后给我来了一个用力的拥抱，差点折断我的肋骨。它接过我的货币，并立马递给我一件用于多用途工具的升级品。}
WAR_NPC_DESC_8_DUST	{这名战士正在浏览一张周边沙漠区域的地图。某些区域画有表示护卫的标记，这个生命体一边强调这些地点，一边发出兴奋的低吼声。它向我叫喊着提出一个问题，但听上去却更像是命令。}
WAR_NPC_DESC_8_LUSH	{这名战士正在浏览一张周边森林区域的地图。某些区域画有表示护卫的标记，这个生命体一边强调这些地点，一边发出兴奋的低吼声。它向我叫喊着提出一个问题，但听上去却更像是命令。}
WAR_NPC_DESC_8_TOX	{这名战士正在浏览一张外头充满毒气的荒原的地图。某些区域画有表示护卫的标记，这个生命体一边强调这些地点，一边发出兴奋的低吼声。它向我叫喊着提出一个问题，但听上去却更像是命令。}
WAR_NPC_DESC_8_RAD	{这名战士正在浏览一张外面充满辐射的荒原地图。某些区域画有表示护卫的标记，这个生命体一边强调这些地点，一边发出兴奋的低吼声。它向我叫喊着提出一个问题，但听上去却更像是命令。}
WAR_NPC_DESC_8_COLD	{这名战士正在浏览一张外头寒冷苔原的地图。某些区域画有表示护卫的标记，这个生命体一边强调这些地点，一边发出兴奋的低吼声。它向我叫喊着提出一个问题，但听上去却更像是命令。}
WAR_NPC_DESC_8_HOT	{这名战士正在浏览一张外头炙热草原的地图。某些区域画有表示护卫的标记，这个生命体一边强调这些地点，一边发出兴奋的低吼声。它向我叫喊着提出一个问题，但听上去却更像是命令。}
DNT_WAR_NPC_LANG_8	{Interloper! A great Sentinel hunt begins today. I demand ammunition.}
WAR_NPC_DESC_8A	{%NAME%盯着我，等待着我做出回答。它一边等待，一边紧张地抚弄着自己的离子闪电发射器，摆弄着弹药舱。}
WAR_NPC_OPT_A_8	{给予弹药}
WAR_NPC_OPT_B_8	{拒绝}
WAR_NPC_RES_A_8	{战士点点头。它对我为它的狩猎捐赠的物品感到满意。作为交换，它给了我一份礼物。}
WAR_NPC_RES_B_8	{这名战士咒骂着我、我的先人以及所有我的后人。它举起武器想要开火，枪却只发出了“咔哒”的空响。它发出了沮丧的吼叫声。}
WAR_NPC_DESC_9	{这名战士在星系地图上追踪数百架战船的航向，这些舰船都在向同一个行星系聚集。对于这个到处都是有喙商人的星系来说这可不是什么太好的兆头。}
DNT_WAR_NPC_LANG_9	{Grah! Fuel! I need fuel to join my brothers in honourable war! Death! Death!}
WAR_NPC_DESC_9A	{战士计划好的一条航线出现了问题，没法进行，不得不放弃，旅行只得被终止。它用力锤击着终端并大声嘶吼，唾沫星子都飞溅到我的面甲上。}
WAR_NPC_OPT_A_9	{给予燃料}
WAR_NPC_OPT_B_9	{拒绝帮助}
WAR_NPC_RES_A_9	{这名战士发出了三声欢快的叫喊。它环顾四周，想要找些什么东西来报答我，最后从它自己的多用途工具中拔出了一个升级模块。它庄重地将这件物品递给了我。}
WAR_NPC_RES_B_9	{这名战士吼叫了起来，愤怒地挥手要我离开。它向我厉声叱责，并模仿出鸟嘴的样子来嘲讽我的多嘴多舌。}
WAR_NPC_DESC_10	{战士突然叫起来，掏出一把刀。它直直地盯着我的眼睛，就在这时，它将刀刃划过了自己的手掌。黑色的血泡从手套的破口中流出来。}
DNT_WAR_NPC_LANG_10	{Interloper! Prove your worth! Vy'keen reward the brave and foolhardy!}
WAR_NPC_DESC_10A	{它将刀递给我，显然想要我也这样做。它用喊叫声向我提出挑战，然后拍了拍身旁的贮存箱。这可能会很疼......}
WAR_NPC_OPT_A_10	{划破手}
WAR_NPC_OPT_B_10	{礼貌地拒绝}
WAR_NPC_RES_A_10	{该战士抓住了我流血的手，并向上面吐了口唾沫。它为此奖励了我。}
WAR_NPC_RES_B_10	{战士对着我嗤笑，似乎我已经达到了它的期望。}
WAR_NPC_DESC_11_DUST	{这名战士的脖子上满是鲜红、溃烂的咬痕，胸口上也全是爪印。它的套装闪着红色的灯光。它的伤口上粘着灰尘和沙土，似乎已经感染了。}
WAR_NPC_DESC_11_LUSH	{这名战士的脖子上满是鲜红、溃烂的咬痕，胸口上也全是爪印。它的套装闪着红色的灯光。它的伤口上生长着奇怪的绿色孢子，似乎已经感染了。}
WAR_NPC_DESC_11_TOX	{这名战士的脖子上满是鲜红、溃烂的咬痕，胸口上也全是爪印。它的套装闪着红色的灯光。它的伤口渗出一种奇异的腐蚀性粘液。}
WAR_NPC_DESC_11_RAD	{这名战士的脖子上满是鲜红、溃烂的咬痕，胸口上也全是爪印。它的套装闪着红色的灯光。它的伤口已经受到了辐射性孢子的感染，微微搏动。}
WAR_NPC_DESC_11_COLD	{这名战士的脖子上满是鲜红、溃烂的咬痕，全身上下冻得红肿。它的胸口上也全是爪印，而它的套装闪着红色的灯光。}
WAR_NPC_DESC_11_HOT	{这名战士的脖子上满是鲜红、溃烂的咬痕。伤口附近的皮肤受到了严重的灼伤，身上肌肤红肿、干枯、紧绷。它的胸口上也全是爪印，而它的套装闪着红色的灯光。}
DNT_WAR_NPC_LANG_11	{Victory in battle, interloper! My suit malfunctions, but the Vy'keen Ancients smile!}
WAR_NPC_DESC_11A	{这名生物向我发出满足的叫声，对自己的险胜感到非常骄傲。不过很显然这名战士受了重伤。连呼吸都异常困难。}
WAR_NPC_OPT_A_11	{给战士的套装充能}
WAR_NPC_OPT_B_11	{分享氧气}
WAR_NPC_OPT_C_11	{向它表示恭喜}
WAR_NPC_RES_A_11	{战士的治疗系统重新开始运作。它装出一副不满的样子，表示自己本来就没事。但是最后它还是默默把一个升级模块送给了我以示感谢。}
WAR_NPC_RES_B_11	{%NAME%装出一副不满的样子，表示自己本来就没事。不过它还是默默地接受了我的帮助，并为自己的生命维持系统进行充能。然后它给了我一个升级模块以示感谢。}
WAR_NPC_RES_C_11	{这名战士点点头，强忍住疼痛，它的骄傲不允许它向我求助。它深吸一口气，沉浸在痛苦和胜利的荣耀中。}
WAR_NPC_DESC_12	{这名战士手中紧抓着一个金属小玩偶。当我靠近的时候，它的双眼突然蒙上了一层奇怪的白色光泽。我听到它开始吟诵一种奇特的咒语，声音变得越来越大。}
DNT_WAR_NPC_LANG_12	{Hirk bless the fuel! Hirk bless the weapon charge! Hirk bless the fuel! Hirk bless the weapon charge!}
WAR_NPC_DESC_12A	{它没有征求我的意见就把双手伸进我的库存，搜寻里面的元素。它的手很烫，我害怕极了。}
WAR_NPC_OPT_A_12	{给予金属}
WAR_NPC_OPT_B_12	{给予碳}
WAR_NPC_OPT_C_12	{将它推开}
WAR_NPC_RES_A_12	{这名战斗祭司用双手在我的供品上来回挥舞。它不断地念诵着咒语，声音变得越来越激烈。
祭司突然大力一挥，这些普通的元素变成了纳米星团。它安静地后退，显得十分疲惫。}
WAR_NPC_RES_B_12	{战士祭司用手不知如何改良了我给他的资源。}
WAR_NPC_RES_C_12	{这名战斗祭司畏缩地退后。它看了看我推它的地方，脸上露出厌恶和恐惧的神情，就好像我的手亵渎了它似的。}
WAR_NPC_DESC_13	{战士沉默了片刻，然后用狡黠的目光看了看我。它回头看了一眼，确保身后没人窥探，然后关闭了安保系统。
这个生命体拉开脚边的一个秘密储物箱，里面似乎堆满了飞船升级模块。}
DNT_WAR_NPC_LANG_13	{Contraband interloper. Interested? Non-traceable payment. Products and cargo only. Units unacceptable.}
WAR_NPC_DESC_13A_DUST	{我停顿了一下，考虑是否接受这个交易。耳边只有外头沙漠中传来的柔和、低沉的风声。<DELAY>0.4<>这是个陷阱吗？还是一个考验？这名战士表现出想要交易的意愿......}
WAR_NPC_DESC_13A_LUSH	{我停顿了一下，考虑是否接受这个交易。耳边只有外边遥遥传来的生物叫声，将这片沉默打破。<DELAY>0.4<>这是个陷阱吗？还是一个考验？这名战士表现出想要交易的意愿......}
WAR_NPC_DESC_13A_TOX	{我停顿了一下，考虑是否接受这个交易。耳边只有腐蚀性酸雨拍打在这座设施破旧不堪的屋顶上发出的柔和声音。<DELAY>0.4<>这是个陷阱吗？还是一个考验？这名战士表现出想要交易的意愿......}
WAR_NPC_DESC_13A_RAD	{我停顿了一下，考虑是否接受这个交易。我感觉到空气中有一股奇特的能量，提醒着我这座设施的墙外存在着退散不去的辐射。<DELAY>0.4<>这是个陷阱吗？还是一个考验？这名战士表现出想要交易的意愿......}
WAR_NPC_DESC_13A_COLD	{我停顿了一下，考虑是否接受这个交易。耳边只有外头沙漠中传来的柔和、低沉的寒风声。<DELAY>0.4<>这是个陷阱吗？还是一个考验？这名战士表现出想要交易的意愿......}
WAR_NPC_DESC_13A_HOT	{我停顿了一下，考虑是否接受这个交易。我的皮肤感到刺痛，突然开始出汗，这种感受提醒着我这座设施墙外那退散不去的炙热高温。<DELAY>0.4<>这是个陷阱吗？还是一个考验？这名战士表现出想要交易的意愿......}
WAR_NPC_OPT_A_13	{提供货币}
WAR_NPC_OPT_B_13	{提供金属}
WAR_NPC_OPT_C_13	{威胁要举报它}
WAR_NPC_RES_A_13	{这名战士摇了摇头，表现出非常失望的神情。这可能是因为政府可以追踪到货币的流向。<DELAY>0.4<>我提出了另一项交易，不过它似乎已经认为和我做交易的风险太大。%NAME%关闭了它的储物箱。}
WAR_NPC_RES_B_13	{这个贼眉鼠眼的生命体点了点头。交易完成。%NAME%发出了轻柔低沉的吼叫声，嘴巴轻轻啪嗒了一下，然后把手伸进了一堆违禁品中。最后它找出了一个用于飞船的升级模块，并递给了我。}
WAR_NPC_RES_C_13	{这名战士凶巴巴地瞪着我，伸手去摸自己的多用途工具。突然之间，我想起来监控摄像头已经关掉了。
在经过一段紧张的对峙之后，<MOOD>Sad<>%NAME%将一把货币塞进了我的手里。它希望我能够保守秘密。}
WAR_NPC_DESC_14	{战士很年轻，看起来吓坏了。它终端的屏幕上显示着下一场行动的命令。当它看到我时，瞪圆了眼睛，双手颤抖地举着自己的多用途工具要献给我。}
WAR_NPC_DESC_14_DUST	{战士很年轻，看起来吓坏了。它终端的屏幕上满是命令，要求它前往沙漠区域，参加对护卫的军事行动。
当它看到我时，瞪圆了眼睛，双手颤抖地举着自己的多用途工具要献给我。}
WAR_NPC_DESC_14_LUSH	{战士很年轻，看起来吓坏了。它终端的屏幕上满是命令，要求它前往森林区域，参加对护卫的军事行动。
当它看到我时，瞪圆了眼睛，双手颤抖地举着自己的多用途工具要献给我。}
WAR_NPC_DESC_14_TOX	{战士很年轻，看起来吓坏了。它终端的屏幕上满是命令，要求它前往毒气荒原，参加对护卫的军事行动。
当它看到我时，瞪圆了眼睛，双手颤抖地举着自己的多用途工具要献给我。}
WAR_NPC_DESC_14_RAD	{战士很年轻，看起来吓坏了。它终端的屏幕上满是命令，要求它冒险穿过这颗星球的辐射风暴，参加对护卫的军事行动。
当它看到我时，瞪圆了眼睛，双手颤抖地举着自己的多用途工具要献给我。}
WAR_NPC_DESC_14_COLD	{战士很年轻，看起来吓坏了。它终端的屏幕上满是命令，要求它前往寒冷冻土，参加对护卫的军事行动。
当它看到我时，瞪圆了眼睛，双手颤抖地举着自己的多用途工具要献给我。}
WAR_NPC_DESC_14_HOT	{战士很年轻，看起来吓坏了。它终端的屏幕上满是命令，要求它穿过外边炙热的区域，参加对护卫的军事行动。
当它看到我时，瞪圆了眼睛，双手颤抖地举着自己的多用途工具要献给我。}
DNT_WAR_NPC_LANG_14	{New recruit abandon post! Desert Vy'keen High Command orders! Take Multi-Tool weapon!}
WAR_NPC_DESC_14A	{它大叫着，听上去像是在央求我。从它的动作可以看出它吓得不轻。它的情绪非常激动，以至于它完全没有注意到我们周围的监控摄像头正监视着我们的一举一动。}
WAR_NPC_OPT_A_14	{拿取多用途工具}
WAR_NPC_OPT_B_14	{拒绝拿取多用途工具}
WAR_NPC_RES_A_14	{年轻的应征士兵准备逃离岗位。摄像头无声地记录了它所有违抗军令的行动。我协助它叛逃的事情已经被维吉恩当局发现了。}
WAR_NPC_RES_B_14	{我表示拒绝，并尽力为这名年轻的战士加油打气。它看上去确实受到了一些鼓舞，不过也可能是因为相较之下而感到羞愧，然后收回了它的武器。它可能会光荣地战死沙场。}
WAR_NPC_DESC_15	{这名生命体并了并脚跟以示自己的权威，并向我展示出两个外星种族的全息头像，一个是身材较小的蜥蜴人，另一个则是较高大的生命体，其全身都被金属壳体包裹着。然后它用自己手中的武器打了个充满侵略性的手势。}
DNT_WAR_NPC_LANG_15	{Interloper! Give Vy'keen interrogator enemy information! Sacrifice enemy friendship, receive Vy'keen reward!}
WAR_NPC_DESC_15A	{这名战士向我发出吼声，它的手指按在武器的扳机上。它要求我做出回答......}
WAR_NPC_OPT_A_15	{供出情报}
WAR_NPC_OPT_B_15	{声称什么都不知道}
WAR_NPC_OPT_C_15	{尝试恐吓对方}
WAR_NPC_RES_A_15	{我将自己对于吉克和科尔瓦克斯所知的一切都告诉了这名生命体，不过只用手势很难充分传达我的意思。%NAME%最后叹了一口气，示意让我离开。}
WAR_NPC_RES_B_15	{我尝试告诉这名战士我无可奉告。它却突然被激怒了。我继续表示抗议，结果惹来它用武器重重地击打我。}
WAR_NPC_RES_C_15	{我直起身，模仿维吉恩高官的样子，用最严厉的态度向这名战士大吼。%NAME%显得非常吃惊。
它长年以来接受服从式教育，所以被我唬住了，一脸歉意。它将自己的多用途工具递给了我作为礼物。}
WAR_NPC_DESC_16	{这名战士年事已高，身居高位。它慢慢打量了我的身体和装备一番，然后不屑地嘶吼了一声。}
DNT_WAR_NPC_LANG_16	{Pathetic interloper species! Equivalent to Korvax and Gek! Show Vy'keen warrior strength!}
WAR_NPC_DESC_16A	{面对它唾沫横飞的大吼，我不禁稍稍退缩了一下。这名年长的维吉恩人翻了个白眼，明显露出蔑视的神情。我想到了一些令它刮目相看的方法......}
WAR_NPC_OPT_A_16	{跳支舞}
WAR_NPC_OPT_B_16	{威胁它}
WAR_NPC_OPT_C_16	{鞠躬}
WAR_NPC_RES_A_16	{我尝试着为它跳舞。这名老战士大吃一惊。<MOOD>Negative<>它<AUDIO>WPN_PL_MELEE<>用力打了我一下。}
WAR_NPC_RES_B_16	{这名年长的战士觉得我的鲁莽行为很有趣，笑了起来。它停顿了一下，然后从自己的多用途工具里取出了一个部件并递给了我。}
WAR_NPC_RES_C_16	{这名年长的战士发出了一声嘲笑。它将我一把推开。看来我还没有资格向它鞠躬。}
WAR_NPC_DESC_17_DUST	{当我靠近时，这名战士张大了鼻孔。它深吸一口气，闻着那股随我进入、打破了设施无菌环境的沙漠空气。
它吼叫着向我发出警告。我急忙向它比划着表示自己并无恶意，也不懂它的种族和语言。}
WAR_NPC_DESC_17_LUSH	{当我靠近时，这名战士张大了鼻孔。它深吸一口气，闻着那股随我进入、打破了设施无菌环境的潮湿空气。
它吼叫着向我发出警告。我急忙向它比划着表示自己并无恶意，也不懂它的种族和语言。}
WAR_NPC_DESC_17_TOX	{当我靠近时，这名战士张大了鼻孔。它深吸一口气，闻着我套装上还残留着的毒雨潮湿腐蚀气味。
它吼叫着向我发出警告。我急忙向它比划着表示自己并无恶意，也不懂它的种族和语言。}
WAR_NPC_DESC_17_RAD	{当我靠近时，这名战士张大了鼻孔。它深吸一口气，闻着我套装上还残留着的刺鼻辐射金属气味。
它吼叫着向我发出警告。我急忙向它比划着表示自己并无恶意，也不懂它的种族和语言。}
